127.0.0.1 - - [18/Aug/2019:22:37:35 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:37:36 +0700] "GET /new-jdbc-12-month-2019/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:37:36 +0700] "GET /new-jdbc-12-month-2019/trang-chu;jsessionid=EE116013DD15657D34F3938A3DC33723 HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:37:37 +0700] "GET /new-jdbc-12-month-2019/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:37:37 +0700] "GET /new-jdbc-12-month-2019/template/web/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:37:37 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:14 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 22555
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:14 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27470
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:14 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:14 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:14 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar3.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 6241
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 200 77952
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 200 116806
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/css/ace.min.css HTTP/1.1" 200 396938
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101274
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36834
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace.min.js HTTP/1.1" 200 55789
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar4.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar2.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 41081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar5.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:15 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/user.jpg HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:17 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/font-awesome/4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:38:17 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 22563
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar3.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar4.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar2.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar5.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:16 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/user.jpg HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:17 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:17 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:39:17 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:40:49 +0700] "GET /new-jdbc-12-month-2019/index.html HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:29 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 24300
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:29 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:29 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:29 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:30 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:30 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:30 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:59 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:59 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:59 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 24345
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:42:59 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:43:00 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:43:00 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:43:00 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/sparkline.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:44:08 +0700] "GET /new-jdbc-12-month-2019/admin-home HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:44:08 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-2.1.1.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:44:08 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:44:08 +0700] "GET /new-jdbc-12-month-2019/assets/images/avatars/avatar3.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Aug/2019:22:44:08 +0700] "GET /new-jdbc-12-month-2019/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1070
